time_s,force_N,accel_x_g,accel_y_g,accel_z_g
0.03281250,0.01120248,0.01054929,0.01114755,0.00270953
0.03291016,-0.13649566,0.01457240,-0.02706445,0.02858741
0.03300781,0.11091601,0.02869541,-0.00035063,-0.01739249
0.03310547,0.00441267,-0.01639800,0.00948100,0.03231149
0.03320312,0.05750125,0.02289843,-0.00129524,-0.00229179
0.03330078,-0.00744101,-0.01643104,0.00127207,0.01824953
0.03339844,-0.08908817,-0.03785831,0.03175674,-0.00929190
0.03349609,-0.12219393,0.00280776,0.02848065,-0.04511956
0.03359375,-0.01559140,-0.02557670,-0.00059318,0.00499739
0.03369141,-0.06231405,0.01344194,0.00471415,-0.02925655
0.03378906,0.05508520,0.00938778,0.04044514,0.00280415
0.03388672,0.01933524,-0.02005762,0.01002152,-0.01236654
0.03398437,-0.18434601,-0.00622923,0.00237258,0.00582600
0.03408203,0.03006819,-0.00831396,0.01082692,-0.02402181
0.03417969,-0.18142906,0.03718206,0.02161238,0.01739043
0.03427734,-0.07247164,-0.00600592,0.01727071,0.00372817
0.03437500,-0.02415304,-0.00351233,0.01779934,0.01614247
0.03447266,-0.29129099,-0.00510272,-0.03286101,0.04977409
0.03457031,0.03372612,0.00708026,0.01671556,-0.00188152
0.03466797,0.04264750,-0.01935558,-0.00645802,0.01056119
0.03476563,-0.00370363,0.00230713,-0.00421315,-0.01911367
0.03486328,-0.04364759,-0.02336549,0.01819692,-0.00861383
0.03496094,-0.03604055,-0.03045276,-0.01629196,-0.00820602
0.03505859,-0.12648092,-0.03916161,0.03125086,0.00475404
0.03515625,-0.02045506,0.04526012,0.04353407,0.00459641
0.03525391,-0.06289177,-0.05073290,0.01350467,-0.02605717
0.03535156,0.03375281,-0.05211399,0.00080101,0.02419110
0.03544922,-0.16062041,-0.01133563,0.04418595,-0.02266157
0.03554687,0.05533849,-0.00014356,0.01367634,0.03604571
0.03564453,0.04148283,-0.02727319,-0.00178974,0.01146241
0.03574219,-0.00123442,0.00761795,0.02274150,-0.01167809
0.03583984,-0.04588072,-0.01700593,0.00884989,0.03960742
0.03593750,0.10285098,-0.02155030,0.02705664,0.02121618
0.03603516,-0.22969026,0.00255171,-0.02005726,0.02502065
0.03613281,0.08906800,-0.01011039,0.06993160,-0.01439375
0.03623047,0.05645562,-0.02978969,0.03192797,-0.00354282
0.03632813,0.06250644,0.01034858,0.07223396,-0.00310362
0.03642578,0.07749689,-0.00687694,0.00796818,-0.00439941
0.03652344,-0.07804666,0.01240461,0.03411551,-0.01313126
0.03662109,-0.01891901,-0.03297058,-0.00262813,-0.01402594
0.03671875,0.11555875,-0.02103325,0.09558119,0.00908465
0.03681641,0.08459589,0.00049054,0.00079936,-0.03439954
0.03691406,0.05100691,0.03559208,0.02678170,0.00337419
0.03701172,-0.20714804,0.00299915,0.00837729,-0.00938650
0.03710938,0.10068307,-0.01727262,-0.00534355,-0.01643771
0.03720703,0.19542065,0.04101383,0.02639787,-0.03436799
0.03730469,0.17145072,0.00650641,-0.04343781,-0.02524776
0.03740234,0.05508171,-0.01764892,0.02650588,0.00828958
0.03750000,-0.21365179,-0.00549144,0.03853756,-0.01772649
0.03759766,0.16138172,-0.01052542,0.00858314,-0.03519176
0.03769531,-0.00208820,-0.01595341,0.00771825,-0.02025204
0.03779297,-0.35987795,-0.02999917,0.00158965,-0.03667899
0.03789062,0.07658111,-0.03885702,0.02712717,0.02542186
0.03798828,-0.20382577,0.00943415,0.01083068,0.00161824
0.03808594,-0.17446609,-0.02543495,0.01366085,-0.00692535
0.03818359,-0.07524383,-0.00806100,0.00633678,-0.02507703
0.03828125,0.21088868,-0.01058151,0.01980310,-0.00202879
0.03837891,-0.03562680,0.02959894,0.01990235,-0.01743044
0.03847656,0.06064874,0.02842962,-0.02265617,0.01735924
0.03857422,0.28219519,-0.01671365,0.02375808,0.00225476
0.03867188,0.25910446,0.01595428,0.00023258,0.01315364
0.03876953,0.00449699,-0.01610897,0.02310422,-0.00251471
0.03886719,-0.01622815,0.00289234,-0.00359250,-0.03339838
0.03896484,-0.16913060,0.02155745,0.04186028,0.02715161
0.03906250,-0.08416871,0.00261297,-0.02422158,-0.00392384
0.03916016,0.08380375,0.02029064,-0.00441217,0.00720096
0.03925781,0.07935961,-0.01433741,0.03510975,-0.02407932
0.03935547,0.03653573,-0.00632992,0.02219482,0.00689702
0.03945312,0.16922025,-0.01838208,0.01693027,0.00097614
0.03955078,-0.09585520,-0.00362744,-0.01826232,-0.00562586
0.03964844,0.01158852,0.01890549,-0.06753561,0.03474684
0.03974609,0.12968645,-0.01875434,0.00883192,-0.01549754
0.03984375,0.10762189,0.01135783,-0.02702945,-0.00450129
0.03994141,0.18064187,-0.03459598,0.02382989,-0.03867192
0.04003906,0.07955306,-0.04336419,0.00543147,-0.03441280
0.04013672,-0.02641038,-0.00385596,0.01973640,-0.00124941
0.04023438,0.07432884,0.01252739,-0.00196668,-0.01498470
0.04033203,-0.13038928,-0.00470203,0.02750337,-0.00910021
0.04042969,-0.22591890,-0.01985686,-0.01404335,0.00229217
0.04052734,0.10710077,0.01874200,0.03954108,0.00872269
0.04062500,0.01172895,-0.01195338,-0.00223083,0.03965523
0.04072266,0.06626144,0.00543021,-0.07132047,0.00666558
0.04082031,-0.23465265,0.00144458,-0.02106169,-0.02162326
0.04091797,-0.03476710,-0.00418223,0.00197835,-0.00843271
0.04101562,-0.06997857,-0.01195387,0.01351851,0.00552417
0.04111328,-0.10963182,0.02405044,0.00302837,-0.00056576
0.04121094,-0.31825225,-0.01731992,-0.02038243,-0.00777199
0.04130859,-0.03023102,-0.01143628,0.00468159,-0.01712612
0.04140625,0.15459564,0.02931805,0.01887109,-0.00752828
0.04150391,0.07714966,-0.01617896,-0.01210456,0.03144256
0.04160156,-0.07014199,0.00304751,0.00065054,-0.02445412
0.04169922,0.01776860,0.00768678,0.00990037,0.00118434
0.04179687,0.13352001,-0.00075529,0.01389338,0.02577667
0.04189453,-0.39406268,-0.00418515,0.02496688,-0.00094677
0.04199219,0.00131952,0.01386324,0.02133509,-0.00858157
0.04208984,0.10148002,0.01769237,-0.03598726,0.04242070
0.04218750,0.12231929,0.03317702,-0.03122891,-0.00865588
0.04228516,0.27510953,0.04173471,-0.00816740,0.01611954
0.04238281,0.19025685,-0.01015192,-0.00412771,0.00977901
0.04248047,0.06688443,-0.02909964,-0.02480088,-0.00683009
